"Serial Number",SKU,EAN,Description,"Sold Qty",Package,"Package Unit","Target Quantity","Main Unit",Category
220,P1835P,4987176043917,"P1835P Joy Diswashing Liquid Lemon 1050mL x1",483,6,pc,7.00,case,non_food
222,08103P,4809013751543,"08103P Garbage Bag Medium Black 22 x 24 x .001 x1",77510,100,pc,59.00,case,non_food
223,FE048P,6943925101534,"FE048P Plastic Broom x1",1773,1,pc,133.00,pc,non_food
224,P2248P,4800090000000,"P2248P Cupp Keyk Choco Mocha 33g x10",,,,,pc,food
225,08108P,08108P,"08108P Garbage Bag Large Clear 26"" x 32"" x .001 x1",46700,100,pc,36.00,case,non_food
226,P0606P,8000500000000,"P0606P Ferrero Rocher Chocolate T3 37.5g x1",,,,,pc,food
227,BC137P,BC137P,"BC137P Ziptie Garbage Bag Natural Large 26"" x 32"" x10",5350,50,pc,9.00,case,non_food
228,SS1425P,4800010000000,"SS1425P Presto Cream Chocolate 30g x10",,,,,pc,food
229,GR102P,GR102P,"GR102P 3M Scotch Brite Scrubing Pad 4.5 in x 6 in x1",5248,48,pc,9.00,case,non_food
230,MH70P,4801234140113,"MH70P Glade Scented Gel Lavender 180g x1",846,12,pc,6.00,case,non_food
232,P1435P,8801060000000,"P1435P Nescafe Gold Coffee 200g x1",,,,,pc,food
233,FE242P,FE242P,"FE242P Mop Head Rayon Heavy Duty No. 400 x1",1645,1,pc,124.00,pc,non_food
234,SS0928P,4800040000000,"SS0928P Fibisco Choco Chip Cookies 200g",,,,,pc,food
235,P0016P,4800550000000,"P0016P Chips Delight Cookies 200g x1",,,,,pc,food
236,P1005P,4808890000000,"P1005P Purefoods Star Corned Beef 175g x1",,,,,pc,food
237,SS1101P,,"SS1101P Downy Sunrise Fresh 1.48L Pouch x1",372,6,pc,5.00,case,non_food
238,P1616P,4800220000000,"P1616P Leslie's Cheezy Corn Crunch 70g x1",,,,,pc,food
241,P0308P,19200997843,"P0308P Lysol Disinfectant Spray Crisp Linen Scent 538g x1",242,12,pc,2.00,case,non_food
242,JU0109P,JU0109P,"JU0109P Mop Head cotton 400g x1",1744,1,pc,131.00,pc,non_food
243,SF0113P,SF0113P,"SF0113P Garbage Bag Medium Black 22"" x 24"" x .001 x1",68500,100,pc,52.00,case,non_food
244,SS1127P,4800020000000,"SS1127P Calbee Honey Butter 60g x1",,,,,pc,food
245,2117P,2117P,"2117P Zonrox Gallon Lemon x1",880,3,pc,22.00,case,non_food
246,SS1738P,4800040000000,"SS1738P Ricoa Curly Tops 12's x1",,,,,pc,food
247,P1943P,5000160000000,"P1943P Mars Mix Minis 17.64oz x1",,,,,pc,food
249,P1544P,8720610000000,"P1544P Lipton Yellow Label Tea Bags x50",,,,,pc,food
250,P2414P,4902430412551,"P2414P Tide Perfect Clean Original Scent 715g x1",1000,12,pc,7.00,case,non_food
251,04821P,04821P,"04821P Basket Type A Small (with Varnish) x1",,,,,pc,food
252,08102P,4809013751536,"08102P Garbage Bag Small Black 18 x 18 x .001 x1",95400,100,pc,72.00,case,non_food
253,P0181P,39000086639,"P0181P Libby's Vienna Sausage 4oz (130g) x1",,,,,pc,food
254,1584P,1584P,"1584P 3M Microfiber Cloth Blue x10",157,5,pc,3.00,case,non_food
255,P0913P,37600240345,"P0913P Spam Luncheon Meat Less Salt 12oz x1",,,,,pc,food
256,1642P,8888089419515,"1642P Boncafe Coffee Filter 1x4 (8 12 cups) x40",494,1,pc,38.00,pc,non_food
257,OC0103P,OC0103P,"OC0103P Power Clean Non Buffable Wax Supreme Gallon x1",114,4,pc,3.00,case,non_food
258,MH112P,9555222605089,"MH112P Glade Automatic Spray Ocean Escape Refill 175g x1",416,6,pc,6.00,case,non_food
259,P1236P,716221000000,"P1236P Cebu Dried Mango 100g x1",,,,,pc,food
260,FE266P,FE266P,"FE266P Wooden Spoon x25",1862,100,pc,2.00,case,non_food
261,P2422P,4800360000000,"P2422P Nescafe Coffee Classic Refill 80g x1",,,,,pc,food
262,1334P,4800020000000,"1334P Del Monte Pasta 900g + Del Monte Filipino Spaghetti Sauce 1kg x1",,,,,pc,food
263,FE215P,FE215P,"FE215P Round rugs White MAKAPAL x35",1384,1,pc,104.00,pc,non_food
264,SS0004P,4800190000000,"SS0004P Oishi Bread Pan Cheese & Onion Flavor 24g x1",,,,,pc,food
266,SS0931P,9556000000000,"SS0931P Kitkat 4F 35g x1",,,,,pc,food
267,P1268P,4800020000000,"P1268P Pic-A Cheese 180g x1",,,,,pc,food
268,FE283P,FE283P,"FE283P Dust Mop with Handle Set 24"" x1",100,1,pc,8.00,pc,non_food
269,04874P,4806530870542,"04874P Indoplas Facemask 3ply x50",1293,40,pc,3.00,case,non_food
270,P1856P,,"P1856P Tide Perfect Clean Original Fresh 565g x1",934,12,pc,6.00,case,non_food
271,P0755P,4800020000000,"P0755P Del Monte Four Season Juice 1L x1",,,,,pc,food
272,2040P,2040P,"2040P Unbranded All Purpose Detergent Powder 1kg x1",3710,30,pc,10.00,case,non_food
273,SS1522P,4807770000000,"SS1522P Nissin Vanilla Wafer 12g x20",,,,,pc,food
274,SS1666P,4807770000000,"SS1666P Nissin Wafer Yummy Butter 12g x20",,,,,pc,food
275,Y0309P,Y0309P,"Y0309P Bonita Pre cut Table Napkin Mixed Grade 1 ply 1000 sheets x1",2525,5,pc,38.00,case,non_food
276,SS1037P,4800190000000,"SS1037P Oishi Potato Chips Plain Salted 60g x1",,,,,pc,food
277,SS1290P,4800090000000,"SS1290P Rebisco Bravo Biscuit 30g x10",,,,,pc,food
278,08118P,08118P,"08118P Garbage Bag XL Clear 30"" x 37"" x .0010 x1",26500,100,pc,20.00,case,non_food
279,FE039P,FE039P,"FE039P Soft Broom Makapal x1",491,1,pc,37.00,pc,non_food
280,FE193P,FE193P,"FE193P Rubber Gloves Makapal Medium pair x1",1374,1,pc,104.00,pc,non_food
281,FE248P,FE248P,"FE248P Rubber Gloves Makapal Large pair x1",1480,1,pc,111.00,pc,non_food
282,FE267P,FE267P,"FE267P Wooden Fork x25",1655,100,pc,2.00,case,non_food
283,P1741P,8000500000000,"P1741P Nutella 680g x1",,,,,pc,food
284,Q0109P,Q0109P,"Q0109P Pingcon Interfolded Paper Towel Premium MG 1 ply 175 pulls 34gsm x1",3660,30,pc,10.00,case,non_food
285,P1883P,1200110000000,"P1883P Lay's Potato Chips Original 170g x1",,,,,pc,food
286,P0539P,4809010000000,"P0539P Lemon Square Cheese Cake 30g x10",,,,,pc,food
